node,dx,dy,tile,px,py,c_o,dim,time
2,4,64,70,4,2,c,1,0.057
2,4,64,141,1,8,o,1,0.039
2,4,64,141,4,2,c,1,0.056
2,4,64,353,1,8,o,1,0.037
2,4,64,353,4,2,c,1,0.055
2,4,64,707,1,8,o,1,0.0695
2,4,64,707,4,2,c,1,0.079
2,4,64,1060,1,8,o,1,0.129
2,4,64,1060,4,2,c,1,0.14
2,4,64,1414,1,8,o,1,0.213
2,4,64,1414,4,2,c,1,0.226
2,4,64,1767,1,8,o,1,0.315
2,4,64,1767,4,2,c,1,0.329
2,8,32,70,1,8,o,1,0.039
2,8,32,70,4,2,c,1,0.057
2,8,32,141,1,8,o,1,0.039
2,8,32,141,4,2,c,1,0.057
2,8,32,353,1,8,o,1,0.037
2,8,32,353,4,2,c,1,0.055
2,8,32,707,1,8,o,1,0.07
2,8,32,707,4,2,c,1,0.078
2,8,32,1060,1,8,o,1,0.129
2,8,32,1060,4,2,c,1,0.139
2,8,32,1414,1,8,o,1,0.213
2,8,32,1414,4,2,c,1,0.223
2,8,32,1767,1,8,o,1,0.319
2,8,32,1767,4,2,c,1,0.324
2,16,16,70,2,4,o,1,0.048
2,16,16,70,4,2,c,1,0.057
2,16,16,141,2,4,o,1,0.047
2,16,16,141,4,2,c,1,0.057
2,16,16,353,2,4,o,1,0.045
2,16,16,353,4,2,c,1,0.055
2,16,16,707,2,4,o,1,0.075
2,16,16,707,4,2,c,1,0.079
2,16,16,1060,2,4,o,1,0.133
2,16,16,1060,4,2,c,1,0.139
2,16,16,1414,2,4,o,1,0.219
2,16,16,1414,4,2,c,1,0.223
2,16,16,1767,2,4,o,1,0.3235
2,16,16,1767,4,2,c,1,0.324
2,32,8,70,4,2,o,1,0.057
2,32,8,70,4,2,o,2,0.049
2,32,8,70,4,2,c,1,0.057
2,32,8,141,4,2,o,1,0.057
2,32,8,141,4,2,o,2,0.048
2,32,8,141,4,2,c,1,0.057
2,32,8,353,4,2,o,1,0.055
